cluster,kind,n_field,n_members,tsne_recall,tsne_precision,tsne_purity,umap_recall,umap_precision,umap_purity,evoc_recall,evoc_precision
Pleiades,open,15851,10,0.5,0.23809523809523808,0.16666666666666666,0.3,0.3,0.1,0.3,0.0027397260273972603
King 7,open,19430,3,1.0,0.0001544878727019929,0.0,0.3333333333333333,0.09090909090909091,0.0,0.3333333333333333,0.00022466861379465288
Berkeley 71,open,23033,9,0.2222222222222222,0.15384615384615385,0.0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.0007514559458951719
IC 166,open,16290,13,0.15384615384615385,0.007751937984496124,0.0,0.8461538461538461,0.0007046764894298527,0.0,0.23076923076923078,0.000985869208018403
NGC 2158,open,26042,6,0.16666666666666666,0.0045871559633027525,0.0,0.16666666666666666,0.0045871559633027525,0.0,0.5,0.00298804780876494
NGC 1245,open,19073,24,0.20833333333333334,0.11627906976744186,0.09166666666666666,0.125,0.15789473684210525,0.05416666666666667,0.875,0.0038447455144635665
King 5,open,19859,3,0.3333333333333333,0.14285714285714285,0.0,1.0,0.0001558117793705204,0.0,0.3333333333333333,0.00020496003279360525
NGC 7789,open,15350,48,0.16666666666666666,0.25806451612903225,0.1375,0.16666666666666666,0.125,0.04791666666666667,0.6458333333333334,0.052364864864864864
NGC 1798,open,21437,13,0.15384615384615385,0.2857142857142857,0.03076923076923077,1.0,0.0006181351338500309,0.015384615384615385,0.5384615384615384,0.0013469309216855877
NGC 2420,open,22186,13,0.15384615384615385,0.08333333333333333,0.015384615384615385,1.0,0.000594938446753009,0.0,0.6153846153846154,0.0015429122468659595
NGC 6819,open,22721,61,0.08196721311475409,0.22727272727272727,0.07540983606557378,1.0,0.0027150932478746605,0.022950819672131147,0.2459016393442623,0.02707581227436823
M 67,open,13636,137,0.051094890510948905,0.4666666666666667,0.12408759124087591,0.6058394160583942,0.05313700384122919,0.08102189781021898,0.48905109489051096,0.05060422960725076
Berkeley 66,open,18210,19,0.05263157894736842,0.030303030303030304,0.0,0.05263157894736842,0.02857142857142857,0.0,0.10526315789473684,0.0021691973969631237
NGC 188,open,15458,24,0.25,0.08108108108108109,0.15833333333333333,1.0,0.001590141125024846,0.075,0.75,0.013878180416345412
NGC 6791,open,22364,14,0.14285714285714285,0.10526315789473684,0.014285714285714285,0.14285714285714285,0.08,0.014285714285714285,0.35714285714285715,0.00178826895565093
Berkeley 17,open,21106,8,0.25,0.07692307692307693,0.03571428571428571,0.25,0.09090909090909091,0.017857142857142856,0.125,0.0005720823798627002
M 5,globular,6937,70,0.5714285714285714,0.2597402597402597,0.44142857142857145,0.4142857142857143,0.06775700934579439,0.44857142857142857,0.9714285714285714,0.12363636363636364
M 3,globular,9333,110,0.6090909090909091,0.11492281303602059,0.4072727272727273,0.6272727272727273,0.13043478260869565,0.37636363636363634,0.9818181818181818,0.16338880484114976
M 13,globular,16585,21,0.47619047619047616,0.01730103806228374,0.11428571428571428,0.9047619047619048,0.0025541067347761796,0.08095238095238096,0.0,0.0
M 15,globular,7807,11,0.8181818181818182,0.05027932960893855,0.41818181818181815,1.0,0.0014309873812930923,0.4636363636363636,0.09090909090909091,0.0027472527472527475
M 71,globular,17716,25,0.12,0.5,0.116,0.12,0.07317073170731707,0.08,0.12,0.0017605633802816902
M 107,globular,17948,10,0.2,0.031746031746031744,0.011111111111111112,1.0,0.001233654083395016,0.0,0.9,0.0014790468364831552
M 92,globular,27278,2,,,,,,,,
